id,city_id,dong_name
556,36,"유림동"
557,36,"유방동"
558,36,"이동면"
559,36,"포곡읍"
560,36,"해곡동"
561,36,"호동"
562,37,"고천동"
563,37,"내손동"
564,37,"부곡동"
565,37,"삼동"
566,37,"오전동"
567,37,"왕곡동"
568,37,"월암동"
569,37,"이동"
570,37,"청계동"
571,37,"초평동"
572,37,"포일동"
573,37,"학의동"
574,38,"가능동"
575,38,"고산동"
576,38,"금오동"
577,38,"낙양동"
578,38,"녹양동"
579,38,"민락동"
580,38,"산곡동"
581,38,"신곡동"
582,38,"용현동"
583,38,"의정부동"
584,38,"자일동"
585,38,"장암동"
586,38,"호원동"
587,39,"갈산동"
588,39,"고담동"
589,39,"관고동"
590,39,"단월동"
591,39,"대월면"
592,39,"대포동"
593,39,"마장면"
594,39,"모가면"
595,39,"백사면"
596,39,"부발읍"
597,39,"사음동"
598,39,"설성면"
599,39,"송정동"
600,39,"신둔면"
601,39,"안흥동"
602,39,"율면"
603,39,"율현동"
604,39,"장록동"
605,39,"장호원읍"
606,39,"중리동"
607,39,"증일동"
608,39,"증포동"
609,39,"진리동"
610,39,"창전동"
611,39,"호법면"
612,40,"검산동"
613,40,"광탄면"
614,40,"교하읍"
615,40,"군내면"
616,40,"금능동"
617,40,"금촌동"
618,40,"맥금동"
619,40,"문발동"
620,40,"문산읍"
621,40,"법원읍"
622,40,"아동동"
623,40,"야동동"
624,40,"월롱면"
625,40,"장단면"
626,40,"적성면"
627,40,"조리읍"
628,40,"진동면"
629,40,"진서면"
630,40,"탄현면"
631,40,"파주읍"
632,40,"파평면"
633,41,"가재동"
634,41,"고덕면"
635,41,"군문동"
636,41,"도일동"
637,41,"독곡동"
638,41,"동삭동"
639,41,"모곡동"
640,41,"비전동"
641,41,"서정동"
642,41,"서탄면"
643,41,"세교동"
644,41,"소사동"
645,41,"신대동"
646,41,"신장동"
647,41,"안중읍"
648,41,"오성면"
649,41,"용이동"
650,41,"월곡동"
651,41,"유천동"
652,41,"이충동"
653,41,"장당동"
654,41,"장안동"
655,41,"죽백동"
656,41,"지산동"
657,41,"지제동"
658,41,"진위면"
659,41,"청룡동"
660,41,"청북면"
661,41,"칠괴동"
662,41,"칠원동"
663,41,"통복동"
664,41,"팽성읍"
665,41,"평택동"
666,41,"포승읍"
667,41,"합정동"
668,41,"현덕면"
669,42,"가산면"
670,42,"관인면"
671,42,"군내면"
672,42,"내촌면"
673,42,"동교동"
674,42,"선단동"
675,42,"설운동"
676,42,"소흘읍"
677,42,"신북면"
678,42,"신읍동"
679,42,"어룡동"
680,42,"영북면"
681,42,"영중면"
682,42,"이동면"
683,42,"일동면"
684,42,"자작동"
685,42,"창수면"
686,42,"포천동"
687,42,"화현면"
688,43,"감북동"
689,43,"감이동"
690,43,"감일동"
691,43,"광암동"
692,43,"교산동"
693,43,"당정동"
694,43,"덕풍동"
695,43,"망월동"
696,43,"미사동"
697,43,"배알미동"
698,43,"상사창동"
699,43,"상산곡동"
700,43,"선동"
701,43,"신장동"
702,43,"창우동"
703,43,"천현동"
704,43,"초이동"
705,43,"초일동"
706,43,"춘궁동"
707,43,"풍산동"
708,43,"하사창동"
709,43,"하산곡동"
710,43,"학암동"
711,43,"항동"
712,44,"기산동"
713,44,"기안동"
714,44,"남양"
715,44,"능동"
716,44,"동탄"
717,44,"마도"
718,44,"매송"
719,44,"무송동"
720,44,"문호동"
